VideoID,StartTime,EndTime,labelID
video001,0,2759,etc
video001,2759,3104,BN
video001,3104,3169.173885,etc
video001,3169.173885,3480,SVVD
video001,3480,3701,etc
video001,3701,3996,NVB
video001,3996,4185,PA
video001,4185,4334,etc
video001,4334,4963,BNU
video001,4963,5071.633,etc
video002,0,107,etc
video002,107,484,SVVD
video002,484,1271,etc
video002,1271,1617,BN
video002,1617,1716,etc
video002,1716,2414,NVB
video002,2414,2430,etc
video002,2430,2707,PA
video002,2707,2763,etc
video002,2763,3464,BNU
video002,3464,3604.851519,etc
video003,0,185,etc
video003,185,669,SVVD
video003,669,1641,BNU
video003,1641,2343,BN
video003,2343,2720,etc
video003,2720,2955,PA
video003,2955,3107,etc
video003,3107,3774,BNU
video003,3774,4012.965442,etc
video005,0,1546,etc
video005,1546,1624,BN
video005,1624,2154,etc
video005,2154,2371,BN
video005,2371,2687,etc
video005,2687,2726,BN
video005,2726,2836,etc
video005,2836,3027,BN
video005,3027,3260,etc
video005,3260,3618,SVVD
video005,3618,3772,etc
video005,3772,3993,BN
video005,3993,4418,etc
video005,4418,4572,SVVD
video005,4572,5442,etc
video005,5442,5639,DVC
video005,5639,6922.797279,BNU
video006,0,1427,etc
video006,1427,2114,BN
video006,2114,2600,SVVD
video006,2600,3417,NVB
video006,3417,3685,PA
video006,3685,3837,etc
video006,3837,4224.569,BNU
video007,0,596,etc
video007,596,957,BN
video007,957,1151,SVVD
video007,1151,1826,NVB
video007,1826,1975,PA
video007,1975,2745.783,BNU
video008,0,92,etc
video008,92,255,BN
video008,255,580,SVVD
video008,580,822,NVB
video008,822,1102,PA
video008,1102,1410,etc
video008,1410,2003.232,BNU
video009,0,288,SVVD
video009,288,909,etc
video009,909,1052,BN
video009,1052,1168,PA
video009,1168,1684,BNU
video009,1684,1846.822313,etc
video010,0,164,etc
video010,164,611,SVVD
video010,611,1591,etc
video010,1591,1859,BN
video010,1859,2509,NVB
video010,2509,2942,etc
video010,2942,3231,PA
video010,3231,3309,etc
video010,3309,3915,BNU
video010,3915,4019.25805,etc
video012,0,39,etc
video012,39,137,BN
video012,137,150,etc
video012,150,320,SVVD
video012,320,691,NVB
video012,691,801,DVC
video012,801,1014,etc
video012,1014,1056,PA
video012,1056,1220,etc
video012,1220,1930,BNU
video012,1930,2021.552472,etc
video013,0,158,BN
video013,158,232,SVVD
video013,232,275,PA
video013,275,477,SVVD
video013,477,839,etc
video013,839,1096,DVC
video013,1096,1274,etc
video013,1274,1693,BN
video013,1693,2011,SVVD
video013,2011,2159,NVB
video013,2159,2330,etc
video013,2330,2367,DVC
video013,2367,2421,PA
video013,2421,3057,BNU
video013,3057,3417.838005,etc
video014,0,549,etc
video014,549,773,BN
video014,773,844,BNU
video014,844,1088,SVVD
video014,1088,1183,etc
video014,1183,1321,LN
video014,1321,1456,PA
video014,1456,1509,NVB
video014,1509,1573,LN
video014,1573,1613,DVC
video014,1613,1800,etc
video014,1800,1975,BNU
video014,1975,2034,LN
video014,2034,2148.217324,etc
video015,0,1100,etc
video015,1100,2044,BN
video015,2044,3409,SVVD
video015,3409,4699,NVB
video015,4699,5417,PA
video015,5417,6104.665397,BNU
video016,0,37,etc
video016,37,181,BN
video016,181,283,etc
video016,283,1906,PA
video016,1906,3000.018141,BNU
video017,0,191,etc
video017,191,472,SVVD
video017,472,1378,etc
video017,1378,1727,BN
video017,1727,2023,SVVD
video017,2023,2254,BN
video017,2254,2414,NVB
video017,2414,2914,etc
video017,2914,3226,DVC
video017,3226,3376,PA
video017,3376,3492,etc
video017,3492,4747.737687,BNU
video018,0,7,etc
video018,7,531,SVVD
video018,531,1432,etc
video018,1432,1908,BN
video018,1908,2823,etc
video018,2823,2977,DVC
video018,2977,3310,NVB
video018,3310,3543,PA
video018,3543,3618,etc
video018,3618,4750,BNU
video018,4750,4819.301587,etc
video020,0,77,etc
video020,77,230,BN
video020,230,267,etc
video020,267,549,SVVD
video020,549,1596,NVB
video020,1596,1692,PA
video020,1692,1799,etc
video020,1799,2456,BNU
video020,2456,2655.736,etc
video021,0,120,etc
video021,120,253,LN
video021,253,313,etc
video021,313,489,BN
video021,489,525,SVVD
video021,525,630,etc
video021,630,674,SVVD
video021,674,792,etc
video021,792,879,DVC
video021,879,906,etc
video021,906,1005,PA
video021,1005,1014,etc
video021,1014,1314,BNU
video021,1314,1333.754195,etc
video023,0,75,etc
video023,75,384,SVVD
video023,384,645,etc
video023,645,854,BN
video023,854,1028,NVB
video023,1028,1170,etc
video023,1170,1313,PA
video023,1313,1728,LN
video023,1728,2047.025,BNU
video024,0,623,etc
video024,623,1280,SVVD
video024,1280,1593,NVB
video024,1593,1685,BN
video024,1685,1837,NVB
video024,1837,1927,PA
video024,1927,2349,BNU
video024,2349,2446.640181,etc
video025,0,557,SVVD
video025,557,1140,etc
video025,1140,1466,BN
video025,1466,3181,NVB
video025,3181,3350,etc
video025,3350,3621,PA
video025,3621,4719.781,BNU
video026,0,123,etc
video026,123,192,LN
video026,192,772,SVVD
video026,772,1211,etc
video026,1211,2023,BN
video026,2023,2311,PA
video026,2311,3520,SVVD
video026,3520,3955,NVB
video026,3955,4151,DVC
video026,4151,4420,etc
